init_name;avi_name;order;family
BLACK-CAPPED CHICKADEE;Black-capped Chickadee;Passeriformes;Paridae
BLACK-NECKED GREBE;Black-necked�;Podicipediformes;Podicipedidae
BLACK-THROATED SPARROW;Black-throated Sparrow;Passeriformes;Passerellidae
BLACKBURNIAM WARBLER;Blackburnian Warbler;Passeriformes;Parulidae
BLONDE CRESTED WOODPECKER;Blond-crested Woodpecker;Piciformes;Picidae
BLOOD PHEASANT;Blood Pheasant;Galliformes;Phasianidae
BLUE COAU;Blue Coua;Cuculiformes;Cuculidae
BLUE DACNIS;Blue Dacnis;Passeriformes;Thraupidae
BLUE GRAY GNATCATCHER;Blue-grey Gnatcatcher;Passeriformes;Polioptilidae
BLUE GROSBEAK;Blue Grosbeak;Passeriformes;Cardinalidae
BLUE GROUSE;Dusky Grouse;Galliformes;Phasianidae
BLUE HERON;Pacific Reef-Egret;Pelecaniformes;Ardeidae
BLUE MALKOHA;Yellowbill;Cuculiformes;Cuculidae
BLUE THROATED PIPING GUAN;Trinidad Piping-Guan;Galliformes;Cracidae
BLUE THROATED TOUCANET;Blue-throated Toucanet;Piciformes;Ramphastidae
BOBOLINK;Bobolink;Passeriformes;Icteridae
BORNEAN BRISTLEHEAD;Bornean Bristlehead;Passeriformes;Pityriasidae
BORNEAN LEAFBIRD;Bornean Leafbird;Passeriformes;Irenidae
BORNEAN PHEASANT;Bornean Peacock-Pheasant;Galliformes;Phasianidae
BRANDT CORMARANT;Bornean Peacock-Pheasant;Galliformes;Phasianidae
BREWERS BLACKBIRD;Brewer's Blackbird;Passeriformes;Icteridae
BROWN CREPPER;Brown Treecreeper;Passeriformes;Climacteridae
BROWN HEADED COWBIRD;Brown-headed Cowbird;Passeriformes;Icteridae
BROWN NOODY;Brown Noddy;Charadriiformes;Laridae
BROWN THRASHER;Brown Thrasher;Passeriformes;Mimidae
BUFFLEHEAD;Bufflehead;Anseriformes;Anatidae
BULWERS PHEASANT;Bulwer's Pheasant;Galliformes;Phasianidae
BURCHELLS COURSER;Burchell's Courser;Charadriiformes;Glareolidae
BUSH TURKEY;Australian Brush-turkey;Galliformes;Megapodiidae
CAATINGA CACHOLOTE;Caatinga Cacholote;Passeriformes;Furnariidae
CABOTS TRAGOPAN;Cabot's Tragopan;Galliformes;Phasianidae
CACTUS WREN;Cactus Wren;Passeriformes;Troglodytidae
CALIFORNIA CONDOR;California Condor;Accipitriformes;Cathartidae
CALIFORNIA GULL;California Gull;Charadriiformes;Laridae
CALIFORNIA QUAIL;California Quail;Galliformes;Odontophoridae
CAMPO FLICKER;Campo Flicker;Piciformes;Picidae
CANARY;Island Canary;Passeriformes;Fringillidae
CANVASBACK;Flying Steamerduck;Anseriformes;Anatidae
CAPE GLOSSY STARLING;Red-shouldered Glossy-Starling;Passeriformes;Sturnidae
CAPE LONGCLAW;Cape Longclaw;Passeriformes;Motacillidae
CAPE MAY WARBLER;Cape May Warbler;Passeriformes;Parulidae
CAPE ROCK THRUSH;Cape Rock-Thrush;Passeriformes;Muscicapidae
CAPPED HERON;Capped Heron;Pelecaniformes;Ardeidae
CAPUCHINBIRD;Capuchinbird;Passeriformes;Cotingidae
CARMINE BEE-EATER;Carmine Bee-eater;Coraciiformes;Meropidae
CASPIAN TERN;Caspian Tern;Charadriiformes;Laridae
CASSOWARY;Cassowary;Casuariiformes;Casuariidae
CEDAR WAXWING;Cedar Waxwing;Passeriformes;Bombycillidae
CERULEAN WARBLER;Cerulean Warbler;Passeriformes;Parulidae
CHARA DE COLLAR;Black-collared Jay;Passeriformes;Corvidae
CHATTERING LORY;Chattering Lory;Psittaciformes;Psittaculidae
CHESTNET BELLIED EUPHONIA;Chestnut-bellied Euphonia;Passeriformes;Fringillidae
CHESTNUT WINGED CUCKOO;Chestnut-winged Cuckoo;Cuculiformes;Cuculidae
CHINESE BAMBOO PARTRIDGE;Chinese Bamboo-Partridge;Galliformes;Phasianidae
CHINESE POND HERON;Chinese Pond-Heron;Pelecaniformes;Ardeidae
CHIPPING SPARROW;Chipping Sparrow;Passeriformes;Passerellidae
CHUCAO TAPACULO;Chucao Tapaculo;Passeriformes;Rhinocryptidae
CHUKAR PARTRIDGE;Chukar;Galliformes;Phasianidae
CINNAMON ATTILA;Cinnamon Attila;Passeriformes;Tyrannidae
CINNAMON FLYCATCHER;Cinnamon Flycatcher;Passeriformes;Tyrannidae
CINNAMON TEAL;Cinnamon Teal;Anseriformes;Anatidae
CLARKS GREBE;Clark's Grebe;Podicipediformes;Podicipedidae
CLARKS NUTCRACKER;Clark's Nutcracker;Passeriformes;Corvidae
COCK OF THE ROCK;Andean Cock-of-the-rock;Passeriformes;Cotingidae
COCKATOO;Cockatiel;Psittaciformes;Cacatuidae
COLLARED ARACARI;Collared Aracari;Piciformes;Ramphastidae
COLLARED CRESCENTCHEST;Collared Crescent-chest;Passeriformes;Melanopareiidae
COMMON FIRECREST;Firecrest;Passeriformes;Regulidae
COMMON GRACKLE;Common Grackle;Passeriformes;Icteridae
COMMON HOUSE MARTIN;Northern House-Martin;Passeriformes;Hirundinidae
COMMON IORA;Common Iora;Passeriformes;Aegithinidae
COMMON LOON;Common Loon;Gaviiformes;Gaviidae
COMMON POORWILL;Common Poorwill;Caprimulgiformes;Caprimulgidae
COMMON STARLING;Common Starling;Passeriformes;Sturnidae
COPPERSMITH BARBET;Coppersmith Barbet;Piciformes;Ramphastidae
